,ABARAD,ABARRA,ALCOFL,AMPEMA,ANDIIN,ANNOMO,APEIME,ARDIFI,ASPI01,ASPISP,ASPISR,BALIEL,BEIL01,BEILCO,BILLCO,BROSGU,BROSLA,BROSPA,BYRSAR,BYRSSP,CALOBR,CALTCO,CARAGU,CASEAR,CASESP,CECRIN,CECROB,CECRPE,CEDROD,CEIBPE,CESPSA,CHIMPA,CHRYCO,CLETCO,COCCTU,COJOCA,COJOCO,CONCPL,CONORU,CORDBI,CORDCY,CORDLU,CORDME,CORDSP,COUEPO,COUMMA,CROTSM,CUPALI,CUPASP,CYNORE,DENBBO,DENDAR,DENDSP,DIALGU,DICHMO,DIPTPA,DUSS01,DUSS02,DUSSMA,DYSTPA,ELAEGL,ENTESC,ESCH01,ESCH02,ESCH03,ESCHCA,ESCHIN,ESCHLO,EUGE01,EUTEPR,FICUSP,GARCMA,GARCSP,GOETME,GRIACA,GUAR01,GUAR02,GUAR03,GUARBU,GUARGE,GUARGL,GUARGR,GUARHO,GUARKU,GUATAE,GUATRE,GUETSP,HAMPAP,HERNDI,HIRTME,HIRTSP,HIRTTR,HUMIDI,HYERAL,HYEROB,HYMEME,ILEXSK,INGA01,INGA02,INGA03,INGA04,INGA05,INGA06,INGA07,INGA08,INGA09,INGA10,INGAAC,INGAAE,INGAAL,INGACH,INGAJI,INGALE,INGAMO,INGAOE,INGAPE,INGASE,INGATH,IRIADE,JACACO,JACTCO,LACMPA,LACUPA,LAETPR,LECOAM,LECYAM,LICNAF,LICNHY,LICNKA,LICNSA,LICNSP,LONCFE,LONCSP,MACAMA,MACRCO,MACRHA,MACRSP,MANICH,MANIST,MANIZA,MARAPA,MARILA,MATASP,MAYTGU,MICOMU,MICRCR,MICRME,MINQGU,MORTAN,MOURGL,NAUCNA,NECTSP,OCHRPY,OCOTAT,OCOTIN,OCOTMA,OCOTSP,ORMOCC,ORMOIN,OTOBNO,PACHAQ,PARATR,PENTMA,PERAAR,PESCAR,PODOGU,POSOLA,POURBI,POURMI,POUT01,POUT02,POUT03,POUT04,POUT05,POUT06,POUT07,POUT08,POUT09,POUT10,POUT11,POUT12,POUT13,POUT14,POUT15,POUT16,POUT17,POUT18,POUTBE,POUTCA,POUTCM,POUTCU,POUTDU,POUTFP,POUTRE,POUTSI,POUTSP,POUTTO,PRADAT,PROTPA,PROTPI,PROTRA,PROTSC,PROTSP,PSEUSU,PSYCPA,PTEROF,PTERRO,QUALPO,QUARBR,QUAROB,QUETOC,RICHOB,ROLLPI,RUPTCA,SACOTR,SAPIGL,SAPIRI,SAPISP,SCLECO,SIMAAM,SLOAGU,SLOAMI,SLOARU,SLOASP,SOCREX,SPACCO,SPONMO,STEPCO,STERRE,STRYMI,SWARSP,TABECH,TABRAL,TALAGL,TAPIGU,TAPUGU,TERMAM,TERMBU,TERMOL,TERMSP,TETRPA,THEOAN,THEOSP,TOVOWE,UNONPI,UNONSP,VANTOC,VATALU,VIROKO,VIROMU,VIROSE,VIROSP,VITECO,VOCHAL,VOCHFE,VOCHGU,WELFRE,XYLOSE,ZANTPA,ZYGISP
F33P3,,,,,,,,,,,,,,,,0.3096,,,,,,,0.7636,,,,,,,,,,,,,,,,,0.6852,,,,,,,,,,,,0.5028,,,,,,,0.332,,,,,,,,,,,,,,,,,,,,0.4536,,,,,,,,,0.332,,,,,,,,,,,,0.4536,,,,,,,,,,,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8496,,,,,,,,,,,,,,,,,,,,0.3256,,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0616,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,0.5028
F33P4,,,,,,,1.0568,,,,,,,,,,,,0.6,,,,,0.2828,,,,,,,0.5028,,,,,,,,,,,,,,0.3936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9504,,,,,,,,,,,,,,,,,,,,,,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3484,,,,,,,,,,,2.8352,,,,,0.3848,,,,,,,,,,,,,,,,,,,1.6972,,,,,,0.3848
F34P1,,,,,,,0.7852,,,,,,,,2.27,,,,,,,,,,,,,,1.7672,,,0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0876,0.4116,,,,,,,,,,,0.3216,,0.694,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,1.1124,,,,,,,,,0.0316,,,,,,,,,,,,,,,,,,,,,,0.636,,,,,,,0.342,,,,,,,,,,,,,0.4416,,,,,,,,,,,,,,,,1.0936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,0.3848,,,,,,,,,,,,,,,,,,,2.8352,,,,
F34P2,,,,,0.374,,2.8352,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2924,,,,,,,,,,,,,,0.3484,0.3848,,,,,,,,,,,,0.3652,,,,,,,,,,,,0.344,,,,,,,,,,3.1416,,,,,,,,,,,,,,,,,,,,,,,,,0.0608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2924,,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3632,,,,,,,,,,,,,,0.4072,,,,,,
F34P3,,,,,0.7544,,2.0108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5756,0.306,,,,,,,,,,,,,0.3116,,,,,,,,,,,0.4536,,,,,,,,,,,,,1.6288,,,,,0.3096,,,,,,,,,,,,,,,,0.5152,0.0352,,,,,,,,,,,,,,,,,,,0.9504,,,,,,,,,,,,,,1.9408,,,,,,,,,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,0.0756,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8352,1.1768,,,,,,
F34P4,,,0.636,,,,0.3116,,,,,,,,,,,,0.636,,,,1.1348,0.5944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3652,,,,,,,,,,,,,,,,,,,0.8496,,,,,,,,,,,0.342,,,,,,,,0.636,,,,,0.3848,,,,,,,,,,,,,,,,,0.0632,,,,,,,0.2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336,,,,,,,,,1.3272,,,,,,,,,,,,,,,,1.7672,,0.7852,,,,,,,,,,,,,,,,,1.7672,,,,,,
F35P1,,,,,,,,,,,,,,,,,,,,,,,,,0.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,0.7388,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,1.8144,,,,,,,0.4184,,,,,,,,,0.6332,,0.2924,,,0.4184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,1.0208,,,,,,,,,,,,0.3652,,,,,,,,,,,,,,,,0.5384,,0.3524,,,,,,
F35P2,,,,,,,,,,,,,,,0.636,,,,,,,,,,0.5028,,,,,,,,,,,,,,0.4348,,,,1.1308,,,,,,0.6736,,,,,,,,,,,,,,,,,,,,,0.0396,,,,,,,,2.8352,,,,,,,,,1.0568,,,,,0.6136,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0724,,,,,,,,,,,,,,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1308,,,,,,,,,0.5384,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,,0.6192,,,,,,,,,
F36P1,,,,,,,,,,,,,,,,,0.3632,,,,,,0.9332,,,,,,,,0.3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1308,,,,,,,,,,,0.0452,1.5392,,,,,,,,0.4096,,,,,0.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3696,,,,,,,,0.0328,,,,,,,,,,,,,,,0.6108,,,,,,,,,,,,,,0.6476,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478,,,,,,,,,,,,,,,,,,,,,0.0616,,,,,0.3916,,,,,,,,0.9852,,,,,,,,,,,0.9712,,,,,0.5028,0.4828,,,,,
F36P2,,,,,,,,,,,,,,,0.9504,,,,,,,,,,,0.4116,,,,,0.3828,,2.1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0348,,,,,,,,,,,,,,1.0568,,,,,,,,,,,,,,,,,,,0.3676,,,,,,,,0.3848,,,,,,,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4488,,,,,,,,,,,0.3196,0.3892,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,,,,0.3612,,,0.2864,,,,,,
F37P1,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7388,,,,0.0372,,,,,,,,,,,,,,0.694,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,,,,,0.0476,,,,,1.1308,,,,0.8528,,,,,,,0.2884,,,,,,,,,,,,,0.4276,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.49,,,,,,0.5028,,,,,,,,,,,,,,,,0.0484,,,
F37P2,,,1.1308,,,,,,,,,0.3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0332,,,,,,,,,,,,,,,,0.3848,,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,,,,,0.0408,,,,,,,,0.3296,,,,,,,,,,,,,,0.6648,,,,,,,,,,,,,,,,,,,,,,0.2464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,0.2828,0.0316,,,,0.6,,,,,,,,,,,,,,,,,0.5204,,,,,,,,,0.9748,,0.0588,,,
F37P3,,,0.4072,,,,,,,,,0.8992,,,,,,,0.3216,,,,,,,,,,,,,,,,,,,,,0.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0316,,,,,,,,,,,,,,,0.3116,,,,,,,,,,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8428,0.3632,,,,,,,,,,,,0.8172,0.4028,,,,,,,,,,,,,,,,,,,,,,0.4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.712,,0.0484,,,
F37P4,,,,,,,,,,,,0.8108,,,,,,,,,0.5152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5436,,,,,,0.0632,,,,0.3236,,,,0.7148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,,,0.3828,0.3548,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4028,,,,,,,0.4072,,,,,,,,,,,,,,,,,,,,,,,,,,0.0332,,,,,,,,,,,,0.5152,,,,,,,,,,,,,,,,,,,,0.068,,,
F38P1,,,,,,,0.4256,0.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,,,,,,,,,,,,,,,,,,,,,0.046,,,,,,,,,,,,,,,,,,,0.4828,,,,,,,,,,,,,,,,,,,,,,,,0.8236,,,,,,0.066,,,,,,,,,,,,,,1.1308,,,,,,,,,,,,,,,0.528,,,,,,,,,0.338,,,,,,0.5,,,,,0.3116,0.4656,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,0.8496,,,,,,,,0.636,,,,,,,,,,,,,,,,,,0.0452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0896,,,
F38P2,,,0.8824,,,,,,,,,,,,,,0.4416,,,,,,,,,,,,,,0.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4184,,,,,,,,,0.0352,,,,,,,,,,,,,,,,,,0.4804,,,,,,0.3196,,,,,,,,0.8464,,,,,,,,,,,,,,,,,0.05,0.338,,,,,,,,,,,,,,,0.4256,,,0.302,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4608,,,,,,,,,,,0.636,,,,,0.0408,,,,1.0568,1.0352,,,,,0.3296,,,,,,,,,,,0.3716,,,,,,,,,0.7636,,0.0524,,,
F38P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,,,,,0.5028,,,,,,,,,0.0316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3216,0.0452,,,,,,,,,,0.4416,,,,,,,,,,,,0.3176,,,,,,,,0.3632,,0.0524,,,
F38P4,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,0.478,,,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,1.1308,,,,,,,,,,,,,,,,,,,,,,,,,0.0688,,,,,,,,,,,,,,,,0.3236,,,1.3272,,,,,,,,,,0.7328,,,,,,,,,,,,,,1.1308,0.3176,,,,,0.5756,,,,,,,,,,,,,,,,,,,,,,,,0.478,,,,,,,0.4276,,,,,0.57,,,,,0.302,,,,,,,,,,,,,,,,0.0756,,,,,,,,,,0.9504,,2.27,,,,,,,,,,,,,,,,,,,,0.0644,,,
F39P1,,,,,,,,,,,0.306,,,,,,,,,,,,0.398,0.4656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0348,,,,,,,,,,,,,,,0.636,,,,,,,0.5568,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0708,,,,,0.4164,,,0.478,,,,,,,,,,,,,,0.636,,,,,0.5808,,0.4348,,,,,,,0.636,,,,,,,,0.3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0708,,,,,,,,,,0.4416,,,,,,,,,,,,,,,,,,,,,,,,,
F39P2,,,,,,,0.332,,,,,,,,,,,,,,,0.2848,,0.3096,,,,,,,,,,,1.8628,,,0.43,,,,,,,,,,,,,,,,,,,,,1.0208,,,,,,,,,,,0.0756,,,,,,,,,,,,,,,,,,,0.4952,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3116,,,0.0908,,,,,,,0.376,,,,,,,,,,,,,,,,,,,,,,0.554,,,,,,,,,,,,,,,0.5436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,0.0616,,,,,1.3272,,,,,0.9504,,,,,,,,,,,,,,0.3632,,,,,,,,,,,
F3P1,,,,,,,,,,,,,,,,0.4232,0.3696,,,,,,1.4228,,,,,,,,0.706,,,,0.5808,,,,,,,,,,,,0.6588,,,,,,,,,,,,,,,,,,,,,,,0.0492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3696,,,,,0.4164,,,,,,,,,,,,,,,,,,,0.748,,,,,,0.3116,,,,,,,,1.7248,,,,,,,,,,,1.4104,,,,,,,,,,,,,,,,0.0624,,,
F3P2,,,,,,,,,,,,,,,,,0.374,,,,,,,,,,,,,,0.5916,,,,,,,,,,,,,,,,,,,,,,,,,3.2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0468,,,,,,,,,,,,,,,,,0.396,,,,,,,,,,,,,,,,,,,,,,,0.3696,,,0.3276,0.338,,,,,,,,,,,,,,,,,,,,,,,,,0.5892,,,,0.5104,0.4632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,,0.0624,,,
F3P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3072,,,,,,,,,,,,,,,,,,,0.3804,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0424,,,,,,,,0.5104,,,,,,,,0.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0352,,,,,,,,,,,,,,,,0.3464,,,,,,,,,,,,,,,,0.066,,,
F3P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0968,,,,,,,,,,,,1.0568,,0.3612,,,,,,,,,,,,,,0.6532,,,,,,,,,0.0352,,,,,,,,,,0.7544,,,,,,,,,,,,,,,0.4728,,,,,,,,,,,,,,,,,,,,,,,,0.1008,,,,,,,,0.6028,,,,,,,,,,,,,,,,,,,,0.456,,,,,,,,,,,,,,,,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8204,,0.3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,0.2884,,,,,,2.8772,,,,,,,,,,0.0696,,,
F40P1,1.5392,,,,,,,,,,,,,,,,,,,,0.8496,,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4208,,,,,,,,,,,,,,,,,,,,,,0.3276,,,,,,,1.1308,,,,,,,,,,,,0.2864,,,,,,,,,,,,,,,0.0708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.518,,,,,0.038,,,,,,,,,,0.6136,,,,,,,,,,,,,,,,,,,,,,0.0856,,,
F40P2,,,,,,,,,,,0.468,,,,,,,,,,1.5392,,0.444,,,,,,,,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0352,,,,,,,,,,,,,,,,,,,,,,0.562,,,,,,,,,,,,0.3276,,,,,,,,,,,,,,,0.0796,,,,,,,,0.5596,0.6736,,,,,,,,,,,,,,,,,,0.5028,,0.636,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,0.3716,,,,,,,,,,,,,,,,,,1.0568,,,,,,,0.298,,,,,,,,,,,,,,,1.1308,,,,,,,,,,0.0452,,,,,,,,,,0.3848,,,,,,,,,,,,,,0.2884,,,,,,0.3484,,0.0588,,,
F40P3,,,,,,,,,,,,0.5488,,,,,,,,,0.3196,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4852,,,,,,,,,0.0492,,,,,,,,,,,,,,0.8496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796,,,,,,,,0.338,0.6648,,,,,,,,,,,,,,,,,,0.456,,0.724,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3236,,,,,0.0452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3504,,0.0844,,,
F40P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2048,,,,,,,,,,,,,,,,,,,1.3684,,,,,0.2884,0.0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4976,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,,,,,2.0108,,,,,,,0.9504,,,,,,,,,,,,,,,,,,0.306,,,,,
F41P1,,,,,,,0.478,,,,,,,,3.2048,,1.0208,,,,,,0.2828,,,,,,,,,,,,,,,,0.3196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3632,,,,,,0.9504,,,,,0.6968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2644,,,,,,,,,,,,,,,,,0.5152,,,,,,,,,,,,,,,,,0.7852,0.444,,,,,,,,,,,,,,,,,,,,,,,,0.9504,,,,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,1.1348,,,,,,1.3272,,,,,,,,,,,,,,,,,,,,,,,,3.2556,,,,,,
F41P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,0.332,,,,,,,,,,,,,,,,,,,,,,,,,0.4928,,,2.5448,,,,,0.2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.536,,,,,,,,,,,,,,,,,0.5152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,,,,,0.0632,,,,,,,,,,1.8628,,,,,,,,,,,,,,,,,,,0.2904,,,,,,
F41P3,,,1.0568,,0.342,2.8352,0.9504,,,,,,,,,,,,,,,,1.1308,,,,,,,,,,,,,,,,,,,,,,,,,,0.4072,,,,,,,,,,0.5028,,,,,,,,,,,0.0708,,,,,,,,,,,,,,,,,,,,,0.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,0.1492,,,,,,,,,,,,,,0.298,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,0.4072,,,,,,,1.1308,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4116,,,,,,,,,,,,,,0.7852,,,,,,,,,,,0.5028
F41P4,,,,,,,,,,,,,,,1.6288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1308,,,,,,,0.2828,,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,0.3588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3804,0.3236,,,,,,,,0.3632,,,,,,0.7852,,,,,,,,,,0.038,,,,,,,,,,0.3136,,,,,,,,,,,,,,,,,,,3.1416,,,,,,
F41P5,,,0.2828,,,,1.1308,,,,,,,,2.5448,,,,0.7852,,,,0.3828,0.636,,,,,,,,,,,,,,,,,,,,0.3632,,,,,,,,,,,,,,,0.3156,,,,,,,,,,,,,,,,,,,,,,,,,1.3272,,,,,,,,,,,,,,,,,,,,,,,,,,0.398,,,,,,,,,0.1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,1.1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5392,,,,,,
F41P6,,,,,,,,,,,,,,,,,0.3716,,,,,,,,,,,,,,,,,,,,,0.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1308,,,,,0.2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,,,,,,,,,,0.5028,,,,,,,,,,,,,,,0.2848,,,,,0.374,,,,,,,,1.7672,,,,,,,,,,,,,,,,,,,,,,,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,0.0668,,,,0.6792,,,,,,0.8496,,,,,,,,,,,,,,,,,,,,,,,,,
F42P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3216,,,,,,,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,0.6056,,,,,,,,,,,0.4512,,,0.528,,,,,,,,,,,,,,,,,,,,,,0.3236,,,,,0.306,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0616,,,,,,,,,,,,,,,,,,,,,,2.5448,,,,,,,,,,,,,
F42P2,,,,,,,,,,,,,,,,0.3612,,0.3632,,,,,,,,,,,,,,,,,,,,2.8352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0564,,,,,,,,,,,,,,,,,,,,,,0.3804,0.2828,,,,,,0.5052,,,,,,,,,,,,,,,0.4536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7672,,,,,,,,,,0.0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F42P3,,,,,,,,,,,,,,,,,,,,,1.3728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3828,,,,,,,0.2848,,,,,,,,,,,,,,,,,,,,,,,,,,0.3196,0.0424,,,,,,,,,1.8144,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,,,,0.3,,,,,0.298,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0348,,,,,,,,,,0.2884,,,,,,,,,,,,,,,,0.4072,,,,0.694,,,,,
F42P4,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,0.528,,,,,,,,,,,,0.5028,,,,,0.636,,,,0.0316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,,,,,0.8172,0.336,,,,,,,,0.3848,,,,,,,,,,,,,,0.5808,,,,,,,,,,,,,0.298,,,,,,,,,,,,,1.5392,,,,,,,,,,,,,,,,1.1308,0.2828,,,,,,,,,,,,,,,0.6084,,,,,,,,,,,,,,,,,0.054,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,1.9708,,,,,
